,0
ocean_proximity_ISLAND,0.00010396886892637517
ocean_proximity_NEAR BAY,0.0006344386904132064
ocean_proximity_NEAR OCEAN,0.0019628145304346352
households,0.006697684612953724
population,0.007715871929797669
total_rooms,0.00844493703819488
total_bedrooms,0.008510018212146763
BedroomsPerRoom,0.017622162565176867
RoomsPerHousehold,0.019094704851715313
housing_median_age,0.03980479721178114
latitude,0.04923001780807724
longitude,0.05104399491548195
PopulationPerHousehold,0.1213548477932865
ocean_proximity_INLAND,0.15122090864510135
median_income,0.5165588323265123
